                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0345,                0.53679,                 1.0071,                0.94309,                0.94005,                0.94851,                0.54242,                 1.5476,                0.54965,                 1.3323,               0.007624,               0.007624,               0.007624
                     50,                 1.0116,                0.53156,                0.99873,                0.93177,                0.93253,                0.93975,                0.54776,                 1.5466,                0.54832,                 1.3369,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0137,                0.52987,                0.99907,                0.93667,                0.92645,                0.93576,                0.54117,                 1.5392,                0.54582,                 1.3357,               0.007525,               0.007525,               0.007525
                     52,                 1.0101,                0.52764,                0.99642,                 0.9369,                0.93297,                0.94491,                0.53686,                  1.544,                0.54365,                 1.3311,              0.0074755,              0.0074755,              0.0074755
                     53,                0.99708,                0.51919,                0.99517,                0.92735,                0.94174,                0.94841,                0.55144,                  1.542,                0.54466,                 1.3337,               0.007426,               0.007426,               0.007426
                     54,                0.99476,                0.51686,                0.99071,                0.94389,                0.93527,                0.94639,                0.54659,                 1.5311,                0.54387,                  1.328,              0.0073765,              0.0073765,              0.0073765
                     55,                0.98977,                0.52241,                0.99102,                0.92707,                0.92662,                0.94387,                0.55249,                 1.5117,                0.53535,                 1.3283,               0.007327,               0.007327,               0.007327
                     56,                0.98265,                0.51298,                0.98769,                  0.932,                0.92705,                0.94159,                0.54983,                 1.5171,                0.54209,                 1.3222,              0.0072775,              0.0072775,              0.0072775
                     57,                0.97999,                0.51052,                0.98639,                0.94706,                0.92378,                0.95411,                0.54984,                 1.5259,                 0.5428,                 1.3264,               0.007228,               0.007228,               0.007228
                     58,                0.97679,                 0.5113,                0.98579,                0.93377,                0.93882,                0.94374,                 0.5549,                 1.5135,                0.54265,                 1.3173,              0.0071785,              0.0071785,              0.0071785
                     59,                0.97324,                 0.5087,                0.98412,                0.92884,                0.93928,                0.94497,                0.55542,                 1.5151,                0.53438,                 1.3319,               0.007129,               0.007129,               0.007129
